freq (GHz)	R	X
1	-30	-40
1.02564103	-28.4615385	-39.947403
1.05128205	-26.9230769	-39.7896121
1.07692308	-25.3846154	-39.5266272
1.1025641	-23.8461538	-39.1584484
1.12820513	-22.3076923	-38.6850756
1.15384615	-20.7692308	-38.1065089
1.17948718	-19.2307692	-37.4227482
1.20512821	-17.6923077	-36.6337936
1.23076923	-16.1538462	-35.739645
1.25641026	-14.6153846	-34.7403024
1.28205128	-13.0769231	-33.6357659
1.30769231	-11.5384615	-32.4260355
1.33333333	-10	-31.1111111
1.35897436	-8.46153846	-29.6909928
1.38461538	-6.92307692	-28.1656805
1.41025641	-5.38461538	-26.5351742
1.43589744	-3.84615385	-24.799474
1.46153846	-2.30769231	-22.9585799
1.48717949	-0.769230769	-21.0124918
1.51282051	0.769230769	-18.9612097
1.53846154	2.30769231	-16.8047337
1.56410256	3.84615385	-14.5430638
1.58974359	5.38461538	-12.1761999
1.61538462	6.92307692	-9.70414201
1.64102564	8.46153846	-7.1268902
1.66666667	10	-4.44444444
1.69230769	11.5384615	-1.65680473
1.71794872	13.0769231	1.23602893
1.74358974	14.6153846	4.23405654
1.76923077	16.1538462	7.33727811
1.79487179	17.6923077	10.5456936
1.82051282	19.2307692	13.8593031
1.84615385	20.7692308	17.2781065
1.87179487	22.3076923	20.8021039
1.8974359	23.8461538	24.4312952
1.92307692	25.3846154	28.1656805
1.94871795	26.9230769	32.0052597
1.97435897	28.4615385	35.9500329
2	30	40
