frequency (MHz),R,X
100,25,-312.026701
125,25,-246.793927
150,25,-202.781813
175,25,-170.895789
200,25,-146.588572
225,25,-127.333894
250,25,-111.615991
275,25,-98.4702899
300,25,-87.2537395
325,25,-77.5211512
350,25,-68.9545332
375,25,-61.3206914
400,25,-54.4447303
425,25,-48.1929063
450,25,-42.4611964
475,25,-37.1674774
500,25,-32.2460507
525,25,-27.6437316
550,25,-23.3170056
575,25,-19.2299256
600,25,-15.3525359
625,25,-11.6596736
650,25,-8.13004722
675,25,-4.74551935
700,25,-1.49054373
725,25,1.64828159
750,25,4.68257165
775,25,7.62244275
800,25,10.4767467
825,25,13.2532623
850,25,15.9588532
875,25,18.5995987
900,25,21.1809026
925,25,23.7075845
950,25,26.1839566
975,25,28.6138889
1000,25,31.0008645
1025,25,33.3480264
1050,25,35.6582185
1075,25,37.9340201
1100,25,40.177776
1125,25,42.3916226
1150,25,44.5775105
1175,25,46.7372243
1200,25,48.8723998
1225,25,50.9845395
1250,25,53.0750254
1275,25,55.1451314
1300,25,57.1960331
1325,25,59.2288177
1350,25,61.2444916
1375,25,63.2439881
1400,25,65.2281739
1425,25,67.1978548
1450,25,69.153781
1475,25,71.096652
1500,25,73.0271205
1525,25,74.9457965
1550,25,76.8532506
1575,25,78.7500171
1600,25,80.636597
1625,25,82.5134606
1650,25,84.3810493
1675,25,86.2397786
1700,25,88.0900393
1725,25,89.9321995
1750,25,91.7666065
1775,25,93.5935879
1800,25,95.413453
1825,25,97.2264943
1850,25,99.0329884
1875,25,100.833197
1900,25,102.627369
1925,25,104.415739
1950,25,106.19853
1975,25,107.975954
2000,25,109.748212
